LD,Velocity (km/s),a (degrees),$ (degrees),DI
2,0.5,-90,15,0.13174
2,1,90,60,0.24168
2,1,90,45,0.31553
2,1,90,30,0.36276
2,1,90,15,0.38718
2,1,75,60,0.24026
2,1,75,45,0.33948
2,1,75,30,0.37604
2,1,75,15,0.38144
2,1,60,60,0.26232
2,1,60,45,0.35752
2,1,60,30,0.38034
2,1,60,15,0.38768
2,1,45,60,0.25814
2,1,45,45,0.35986
2,1,45,30,0.41111
2,1,45,15,0.41014
2,1,30,60,0.23974
2,1,30,45,0.36257
2,1,30,30,0.43351
2,1,30,15,0.45234
2,1,15,60,0.2409
2,1,15,45,0.34642
2,1,15,30,0.41522
2,1,15,15,0.46186
2,1,0,60,0.23683
2,1,0,45,0.33629
2,1,0,30,0.39144
2,1,0,15,0.46258
2,1,-15,60,0.22775
2,1,-15,45,0.32568
2,1,-15,30,0.38084
2,1,-15,15,0.4227
2,1,-30,60,0.23299
2,1,-30,45,0.2988
2,1,-30,30,0.36993
2,1,-30,15,0.40299
2,1,-45,60,0.23888
2,1,-45,45,0.30383
2,1,-45,30,0.367
2,1,-45,15,0.39565
2,1,-60,60,0.2333
2,1,-60,45,0.29414
2,1,-60,30,0.359
2,1,-60,15,0.38573
2,1,-75,60,0.23333
2,1,-75,45,0.28955
2,1,-75,30,0.35449
2,1,-75,15,0.37477
2,1,-90,60,0.24168
2,1,-90,45,0.31553
2,1,-90,30,0.36276
2,1,-90,15,0.38718
2,1.25,90,60,0.32192
2,1.25,90,45,0.40437
2,1.25,90,30,0.45242
2,1.25,90,15,0.49666
2,1.25,75,60,0.34836
2,1.25,75,45,0.41963
2,1.25,75,30,0.47539
2,1.25,75,15,0.49691
2,1.25,60,60,0.36594
2,1.25,60,45,0.43875
2,1.25,60,30,0.5051
2,1.25,60,15,0.52043
2,1.25,45,60,0.36624
2,1.25,45,45,0.46251
2,1.25,45,30,0.53299
2,1.25,45,15,0.54107
2,1.25,30,60,0.35085
2,1.25,30,45,0.4474
2,1.25,30,30,0.54308
2,1.25,30,15,0.57173
2,1.25,15,60,0.31303
2,1.25,15,45,0.44034
2,1.25,15,30,0.53398
2,1.25,15,15,0.58029
2,1.25,0,60,0.28568
2,1.25,0,45,0.43149
2,1.25,0,30,0.52406
2,1.25,0,15,0.57766
2,1.25,-15,60,0.28415
2,1.25,-15,45,0.42151
2,1.25,-15,30,0.49217
2,1.25,-15,15,0.55342
2,1.25,-30,60,0.28208
2,1.25,-30,45,0.40056
2,1.25,-30,30,0.46519
2,1.25,-30,15,0.52892
2,1.25,-45,60,0.29448
2,1.25,-45,45,0.40862
2,1.25,-45,30,0.4599
2,1.25,-45,15,0.51261
2,1.25,-60,60,0.2893
2,1.25,-60,45,0.40162
2,1.25,-60,30,0.44896
2,1.25,-60,15,0.48803
2,1.25,-75,60,0.30303
2,1.25,-75,45,0.40437
2,1.25,-75,30,0.45097
2,1.25,-75,15,0.48483
2,1.25,-90,60,0.32192
2,1.25,-90,45,0.40437
2,1.25,-90,30,0.45242
2,1.25,-90,15,0.49666
2,1.5,90,60,0.40724
2,1.5,90,45,0.47767
2,1.5,90,30,0.57375
2,1.5,90,15,0.62575
2,1.5,75,60,0.41948
2,1.5,75,45,0.51853
2,1.5,75,30,0.59123
2,1.5,75,15,0.61957
2,1.5,60,60,0.4212
2,1.5,60,45,0.54498
2,1.5,60,30,0.60618
2,1.5,60,15,0.6239
2,1.5,45,60,0.428
2,1.5,45,45,0.55209
2,1.5,45,30,0.63784
2,1.5,45,15,0.6528
2,1.5,30,60,0.42728
2,1.5,30,45,0.5549
2,1.5,30,30,0.64605
2,1.5,30,15,0.70332
2,1.5,15,60,0.40216
2,1.5,15,45,0.53916
2,1.5,15,30,0.63266
2,1.5,15,15,0.69013
2,1.5,0,60,0.381
2,1.5,0,45,0.51693
2,1.5,0,30,0.62175
2,1.5,0,15,0.70347
2,1.5,0,60,0.36493
2,1.5,-15,45,0.49915
2,1.5,-15,30,0.61359
2,1.5,-15,15,0.67356
2,1.5,-30,60,0.35528
2,1.5,-30,45,0.47941
2,1.5,-30,30,0.59144
2,1.5,-30,15,0.64014
2,1.5,-45,60,0.36915
2,1.5,-45,45,0.48882
